Neighbourhood,Intenisty,CrimeYear,,,
Washington Village/Pigtown,461,2016,,,
Westport/Mount Winans/Lakeland,414,2016,,,
Unassigned -- Jail,161,2016,,,
Oldtown/Middle East,422,2016,,,
"Harbor East/Little Italy
",258,2016,,,
Upton/Druid Heights,866,2016,,,
Midtown,408,2016,,,
Greenmount East,65,2016,,,
Allendale/Irvington/S. Hilton,331,2017,,,
Beechfield/Ten Hills/West Hills,241,2017,,,
Belair-Edison,802,2017,,,
Brooklyn/Curtis Bay/Hawkins Point,1102,2017,,,
Canton,404,2017,,,
Cedonia/Frankford,985,2017,,,
Cherry Hill,551,2017,,,
Chinquapin Park/Belvedere,287,2017,,,
Claremont/Armistead,304,2017,,,
Clifton-Berea,267,2017,,,
Cross-Country/Cheswolde,371,2017,,,
Dickeyville/Franklintown,254,2017,,,
Dorchester/Ashburton,98,2017,,,
Downtown/Seton Hill,1075,2017,,,
Edmondson Village,128,2017,,,
Fells Point,93,2017,,,
Forest Park/Walbrook,219,2017,,,
Glen-Fallstaff,281,2017,,,
Greater Charles Village/Barclay,290,2017,,,
Greater Govans,393,2017,,,
Greater Mondawmin,190,2017,,,
Greater Roland Park/Poplar Hill,317,2017,,,
Greater Rosemont,3,2017,,,
Hamilton,393,2017,,,
Harford/Echodale,505,2017,,,
Highlandtown,177,2017,,,
Howard Park/West Arlington,317,2017,,,
Inner Harbor/Federal Hill,400,2017,,,
Lauraville,125,2017,,,
Loch Raven,149,2017,,,
Madison/East End,200,2017,,,
Medfield/Hampden/Woodberry/Remington,714,2017,,,
Midway/Coldstream,135,2017,,,
Morrell Park/Violetville,397,2017,,,
Mount Washington/Coldspring,227,2017,,,
North Baltimore/Guilford/Homeland,481,2017,,,
Northwood,129,2017,,,
Orangeville/East Highlandtown,198,2017,,,
Patterson Park North & East,185,2017,,,
Penn North/Reservoir Hill,478,2017,,,
Pimlico/Arlington/Hilltop,514,2017,,,
Poppleton/The Terraces/Hollins Market,223,2017,,,
Sandtown-Winchester/Harlem Park,805,2017,,,
South Baltimore,92,2017,,,
Southeastern,72,2017,,,
Southern Park Heights,169,2017,,,
Southwest Baltimore,299,2017,,,
The Waverlies,32,2017,,,
Washington Village/Pigtown,224,2017,,,
Westport/Mount Winans/Lakeland,338,2017,,,
Unassigned -- Jail,90,2017,,,
Oldtown/Middle East,291,2017,,,
"Harbor East/Little Italy
",199,2017,,,
Upton/Druid Heights,551,2017,,,
Midtown,226,2017,,,
Greenmount East,40,2017,,,
