Crime Date,Crime Code,Description,Weapon,District,Neighbourhood,Longtitude,Latitude,Impact,Intensity
2012,4,COMMON ASSAULT,Other,NORTHWESTREN,Towanda-Grantley,-76.66421,39.3338,0.219,123
2012,4,COMMON ASSAULT,Other,SOUTHEASTERN,Broening Manor,-76.54163,39.27612,0.259,127
2012,4,COMMON ASSAULT,Other,SOUTHWESTERN,Tremont,-76.69312,39.28284,0.23,26
2012,4,COMMON ASSAULT,Other,SOUTHERN,Brookyln,-76.60231,39.2388,0.246,698
2012,6D,LARCENY FROM AUTO,Other,Northern,Tuscany-Canterbury,-76.61807,39.33385,0.45,40
2012,6D,LARCENY FROM AUTO,Other,NORTHWESTREN,Burleith-Leighton,-76.6643,39.32192,0.253,63
2012,5A,BURGLARY,Other,SOUTHERN,Union Square,-76.63974,39.28596,0.303,145
2012,6D,LARCENY FROM AUTO,Other,SOUTHEASTERN,Butcher's Hill,-76.58654,39.2929,0.32,154
2012,6D,LARCENY FROM AUTO,Other,CENTRAL,University Of Maryland,-76.62384,39.29182,0.31,129
2012,4,COMMON ASSAULT,HANDS,NORTHWESTREN,Callaway-Garrison,-76.68286,39.33317,0.166,96
2012,5A,BURGLARY,Other,SOUTHWESTERN,Uplands,-76.69199,39.29015,0.259,54
2012,6D,LARCENY FROM AUTO,Other,SOUTHEASTERN,Upper Fells Point,-76.58448,39.28784,0.21,285
2012,4,COMMON ASSAULT,HANDS,Northern,Cameron Village,-76.60212,39.3547,0.353,82
2012,6,Larceny,Other,CENTRAL,Upton,-76.6284,39.2988,0.253,691
2012,6D,LARCENY FROM AUTO,Other,SOUTHEASTERN,Canton,-76.57503,39.28589,0.342,760
2012,6,Larceny,Other,SOUTHEASTERN,Canton Industrial Area,-76.55588,39.27747,0.543,86
2012,5A,BURGLARY,Other,EASTERN,CARE,-76.58659,39.2972,0.31,216
2012,6,Larceny,Other,SOUTHERN,Carroll - Camden Industri,-76.62763,39.27438,0.425,188
2012,6,Larceny,Other,SOUTHWESTERN,Violetville,-76.67246,39.26155,0.281,199
2012,4,COMMON ASSAULT,HANDS,SOUTHERN,Carroll Park,-76.64609,39.27227,0.379,29
2012,4,COMMON ASSAULT,HANDS,SOUTHWESTERN,Wakefield,-76.70194,39.30966,0.229,87
2012,6,Larceny,Other,NORTHEASTERN,Cedmont,-76.53094,39.3545,0.27,144
2012,4,COMMON ASSAULT,HANDS,SOUTHWESTERN,Walbrook,-76.66952,39.30906,0.203,211
2012,5A,BURGLARY,Other,NORTHWESTREN,Central Forest Park,-76.69051,39.32841,0.261,84
2012,5A,BURGLARY,Other,NORTHEASTERN,Waltherson,-76.55565,39.34076,0.277,339
2012,6D,LARCENY FROM AUTO,Other,SOUTHEASTERN,Washington Hill,-76.59487,39.29156,0.354,279
2012,4,COMMON ASSAULT,HANDS,NORTHWESTREN,Central Park Heights,-76.67401,39.34307,0.246,503
2012,6,Larceny,Other,SOUTHERN,Washington Village/Pigtow,-76.63007,39.28188,0.273,542
2012,6,Larceny,Other,Northern,Charles Village,-76.61615,39.32869,0.313,380
2012,5A,BURGLARY,Other,Northern,Waverly,-76.60364,39.33101,0.289,221
2012,4,COMMON ASSAULT,HANDS,SOUTHERN,Cherry Hill,-76.62268,39.24649,0.254,794
2012,5A,BURGLARY,Other,NORTHWESTREN,West Arlington,-76.69322,39.33866,0.267,116
2012,5A,BURGLARY,Other,NORTHWESTREN,West Forest Park,-76.69285,39.32178,0.24,104
2012,5A,COMMON ASSAULT,Other,NORTHEASTERN,Clifton Park,-76.58713,39.31884,0.28,114
2012,6D,LARCENY FROM AUTO,Other,SOUTHWESTERN,West Hills,-76.69727,39.30131,0.229,74
2012,5A,COMMON ASSAULT,HANDS,EASTERN,Darley Park,-76.59366,39.31552,0.358,81
2012,5A,BURGLARY,Other,NORTHEASTERN,Westfield,-76.55474,39.3587,0.243,144
2012,4C,AGG. ASSAULT,FIRE ARM,CENTRAL,Druid Heights,-76.63589,39.31031,0.192,203
2012,5A,BURGLARY,Other,SOUTHWESTERN,Westgate,-76.70795,39.28572,0.325,132
2012,6D,LARCENY FROM AUTO,Other,CENTRAL,Downtown,-76.61696,39.29408,0.271,1995
2012,6D,LARCENY FROM AUTO,Other,CENTRAL,Downtown West,-76.62093,39.28628,0.43,230
2012,5A,BURGLARY,Other,NORTHEASTERN,East Arlington,-76.67051,39.33194,0.277,101
2012,4,COMMON ASSAULT,HANDS,WESTERN,Easterwood,-76.64875,39.30576,0.261,126
2012,5A,BURGLARY,HANDS,SOUTHWESTERN,Edgewood,-76.67735,39.2966,0.257,105
2012,7,AUTO THEFT,Other,WESTERN,Evergreen Lawn,-76.65495,39.29703,0.223,76
2012,6,Larceny,Other,SOUTHERN,Fairfield Area,-76.59756,39.23487,0.458,72
2012,6,Larceny,Other,NORTHWESTREN,Forrest Park,-76.6719,39.32417,0.261,84
2012,5A,BURGLARY,Other,NORTHEASTERN,Four By Four,-76.57851,39.31649,0.322,127
2012,4,COMMON ASSAULT,FIRE ARM,SOUTHWESTERN,Franklintown Road,-76.66501,39.29543,0.277,154
2012,5A,BURGLARY,KNIFE,NORTHWESTREN,Glen,-76.69699,39.35558,0.254,245
2012,4,COMMON ASSAULT,HANDS,Northern,Glen Oaks,-76.59501,39.37009,0.192,166
2012,5A,BURGLARY,HANDS,Northern,Green Spring,-76.65869,39.33299,0.306,183
2012,6D,LARCENY FROM AUTO,Other,Northern,Guilford,-76.61503,39.3366,0.4,95
2012,4,COMMON ASSAULT,Other,NORTHEASTERN,Hamilton Hills,-76.56431,39.36952,0.224,552
2012,5A,BURGLARY,Other,NORTHWESTREN,Howard Park,-76.69161,39.33204,0.261,279
2012,6,Larceny,Other,SOUTHEASTERN,Inner Harbor,-76.6134,39.28544,0.608,846
2012,6,Larceny,Other,SOUTHWESTERN,Irvington,-76.68255,39.28173,0.233,271
2012,6D,LARCENY FROM AUTO,Other,EASTERN,Johnston Square,-76.60591,39.30494,0.265,320
2012,6,Larceny,Other,SOUTHERN,Lakeland,-76.65077,39.25875,0.281,320
2012,5A,BURGLARY,HANDS,NORTHEASTERN,Lauraville,-76.57359,39.35168,0.303,188
2012,6,Larceny,Other,NORTHEASTERN,Loch Raven,-76.5773,39.35692,0.224,318
