CrimeYear,Crime Code,Description,Weapon,District,Neighbourhood,Longitude,Latitude,Impact,Intensity
2014,4A,Agg Assault,Other,NORTHEASTERN,Four By Four,-76.57851,39.31649,0.279,85
2015,5A,Burglary,Other,NORTHEASTERN,Four By Four,-76.57851,39.31649,0.209,98
2016,5A,Burglary,Other,NORTHEASTERN,Four By Four,-76.57851,39.31649,0.229,109
2017,4,Common Assault,FIRE ARM,NORTHEASTERN,Four By Four,-76.57851,39.31649,0.2049,93
2012,4,Common Assault,Other,NORTHEASTERN,Hamilton Hills,-76.56431,39.36952,0.224,552
2013,5A,Burglary,KNIFE,NORTHEASTERN,Hamilton Hills,-76.56431,39.36952,0.22,631
2014,5A,Burglary,KNIFE,NORTHEASTERN,Hamilton Hills,-76.56431,39.36952,0.22,595
2015,5A,Burglary,KNIFE,NORTHEASTERN,Hamilton Hills,-76.56431,39.36952,0.192,585
2016,5A,Burglary,KNIFE,NORTHEASTERN,Hamilton Hills,-76.56431,39.36952,0.207,547
2017,5A,Burglary,KNIFE,NORTHEASTERN,Hamilton Hills,-76.56431,39.36952,0.206,393
2012,6,Larceny,Other,SOUTHEASTERN,Inner Harbor,-76.6134,39.28544,0.608,846
2013,6,Larceny,Other,SOUTHEASTERN,Inner Harbor,-76.6134,39.28544,0.608,599
2014,6,Larceny,Other,SOUTHEASTERN,Inner Harbor,-76.6134,39.28544,0.6208,605
2015,6,Larceny,Other,SOUTHEASTERN,Inner Harbor,-76.6134,39.28544,0.608,496
2016,6,Larceny,Other,SOUTHEASTERN,Inner Harbor,-76.6134,39.28544,0.57,515
2017,6,Larceny,Other,SOUTHEASTERN,Inner Harbor,-76.6134,39.28544,0.546,353
